,Right Arm Angle,Full Body Angle,Left Leg Angle
84,48.0116487583096,142.3137225922682,174.23525631408734
85,43.55072241395842,143.61798117450135,174.29007066491158
86,33.140137323040996,147.45262847796943,174.43993632698258
87,13.127293384989382,154.22077133646394,174.57575096749463
88,6.599046899916806,157.2352437239484,174.16145737565918
89,7.734867935894624,157.6224575825356,173.25505015996126
90,12.414308747970793,156.32765760622456,173.0082719732455
91,15.519316957466591,155.01280793085402,172.94555267135723
92,15.455495831384404,154.3581754386707,173.2008513727021
93,15.304991576551162,154.1696937707092,173.31560828230272
94,14.442115189910332,154.46758344852148,173.12389612040224
95,168.9340628940814,179.39206590517884,171.41277219114752
96,168.81292007933922,178.1277290947479,171.80656533663802
97,15.496917101570162,165.63518525758676,171.95694448602458
98,150.7211570239701,175.47790352870317,169.90157380712927
99,149.89240235663976,172.8710174513041,167.94566492477458
100,144.27485082780836,171.0171601264756,163.63163971920895
101,135.23228549772395,170.05146639696582,168.32733421396887
102,128.14113526849954,167.97963929296571,170.4422438138264
103,115.55980131955153,166.97931425767325,170.93290076706705
104,118.66485814903179,162.366822345345,171.2022316844864
105,112.9226353981581,157.78358426846512,170.6752357853365
106,100.65559706241925,152.38422046599067,179.1708095637827
107,95.14442929995722,152.31020055549618,178.96758997854886
108,79.86304746618457,148.4786970633418,178.04032207321208
109,90.51630960505136,146.56089620610672,176.91114359335288
110,156.23586988272808,134.75878458361365,176.276293786159
111,151.95239519273588,129.42082084940552,174.77908018310518
112,156.43136477168795,149.18300478890401,172.90181735663614
113,170.44513010731367,160.80374658046762,177.27489758208756
114,176.15419611844013,163.94710801554223,176.208660603802
115,170.1338287523263,127.65300431243199,175.37308426874512
116,21.97398658058008,177.56962988867687,175.97966873928377
117,150.77939088583562,172.92319998342165,177.09321778773003
118,161.71397007696564,135.10568041301963,179.19339627224747
119,170.6095109388559,175.7397519739615,173.68163856174863
120,177.63946385137947,177.02606672413606,171.07536833724083
121,173.5221964254695,178.18632181242285,172.11577537785908
122,172.85658356687392,179.34568687555435,168.54481554704037
123,174.10620288047147,177.876073290664,166.62084880494893
124,174.89562095003285,177.5176757718213,166.37552978183848
125,178.7098402535384,176.77906316162188,164.4003365695439
126,171.59065181837434,174.90809422327735,164.06192897540225
127,165.07661203025563,173.85836407115426,162.62859611089948
128,162.5013282310481,172.3946843351329,162.10184301280927
129,161.39403194321932,171.24141247986103,161.46758771323138
130,139.9466906195828,168.83924259229028,164.94968255565962
131,116.66268980449428,167.12592861225548,167.61135209909827
132,110.98410833506333,170.44844470957258,170.23668132571768
133,99.42177329515506,169.02335100226523,173.39074751296428
134,92.75552153247496,167.70640864536958,174.31011139866655
135,74.49423633358114,161.92505993685225,177.11365508820157
136,90.16290334251492,162.84162128533808,179.9262973284878
137,81.73600464760962,162.1794010888346,178.81772760755655
138,87.23725496145536,158.70025454707906,178.21365722174554
139,127.22924785593685,158.2469577193184,178.94851208433815
140,113.46574122376353,164.97537208881198,178.9371664540384
141,104.51575487730025,170.8988723901057,179.73223204209958
142,110.99980844198345,173.4271569833552,178.34372119110995
143,119.55280254341733,173.25830555219056,176.77638276556704
144,65.86966432295237,179.01515625659306,176.19736211325832
